,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Fuel_Efficiency,Engine,Power,Seats,New_Price,Price,Annual_Km_Driven,Age
47,49,Mahindra Thar CRDe AC,Jaipur,2012,75800,0,0,Second,16.55,2498.0,105.0,6.0,20.48,5.5,5830.77,13
48,50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,0,1,First,17.11,1968.0,174.33,5.0,20.48,21.43,1364.8,10
49,51,Maruti Swift LDI,Delhi,2014,52000,0,0,First,22.9,1248.0,74.0,5.0,20.48,4.25,4727.27,11
50,52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,0,0,First,17.8,1248.0,75.0,5.0,20.48,3.3,4818.18,11
51,53,Maruti Swift VDI,Delhi,2013,65650,0,0,First,28.4,1248.0,74.0,5.0,20.48,3.85,5470.83,12
52,54,Hyundai Grand i10 Sportz,Chennai,2015,54000,1,0,Third,18.9,1197.0,82.0,5.0,20.48,3.6,5400.0,10
53,55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,1,0,First,15.04,1598.0,103.2,5.0,20.48,3.99,3900.0,10
54,56,Renault KWID RXT,Kochi,2017,16542,1,0,First,25.17,799.0,53.3,5.0,20.48,3.3,2067.75,8
55,57,Hyundai i10 Asta,Kolkata,2010,32000,1,0,First,20.36,1197.0,78.9,5.0,20.48,2.07,2133.33,15
56,58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,0,1,First,9.49,1995.0,147.6,5.0,20.48,7.75,8120.8,15
57,59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,1,0,First,18.2,998.0,67.1,5.0,20.48,2.25,2620.0,15
58,60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,0,0,First,13.68,2393.0,147.8,8.0,19.34,16.5,2750.0,8
59,61,Ford Figo Diesel Titanium,Bangalore,2010,72000,0,0,First,20.0,1399.0,68.0,5.0,20.48,2.75,4800.0,15
60,62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,1,1,First,11.74,1796.0,186.0,5.0,20.48,26.7,5800.0,10
61,63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,0,0,Second,15.8,2148.0,170.0,5.0,20.48,10.0,4642.86,14
62,64,Tata Indica V2 eLS,Chennai,2016,178000,0,0,First,25.0,1396.0,69.0,5.0,20.48,2.5,19777.78,9
63,65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,0,1,First,16.55,1968.0,140.0,5.0,20.48,13.5,5051.08,13
64,66,Honda City ZX CVT,Mumbai,2007,63000,1,1,Second,16.4,1497.0,78.0,5.0,20.48,1.85,3500.0,18
65,67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,0,1,First,0.0,1950.0,194.0,5.0,49.14,35.67,2561.5,6
66,68,Maruti Ertiga SHVS VDI,Pune,2016,63000,0,0,First,24.52,1248.0,88.5,7.0,20.48,8.15,7000.0,9
67,69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,0,0,First,22.1,1396.0,88.7,5.0,11.81,10.5,1857.14,7
68,70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,1,1,First,8.5,4806.0,500.0,5.0,20.48,14.5,4294.12,17
69,71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,0,0,First,15.1,2179.0,140.0,7.0,20.48,9.65,5572.9,10
70,72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,1,1,First,16.95,1197.0,78.9,5.0,20.48,3.48,3475.23,13
71,73,Nissan Terrano XV D Pre,Kochi,2015,56066,0,0,First,19.64,1461.0,108.5,5.0,16.65,6.92,5606.6,10
72,74,Honda Brio VX AT,Coimbatore,2016,37300,1,1,Second,16.5,1198.0,86.8,5.0,20.48,6.46,4144.44,9
73,75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,0,1,Second,18.53,1968.0,187.74,5.0,20.48,29.5,5090.91,11
74,77,Toyota Innova 2.0 G1,Chennai,2006,230000,1,0,Third,12.4,1998.0,132.0,8.0,20.48,4.5,12105.26,19
75,78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,0,0,First,12.8,2494.0,102.0,7.0,20.48,11.75,8000.0,13
76,80,Maruti Swift VDI,Jaipur,2012,95100,0,0,First,22.9,1248.0,74.0,5.0,20.48,3.75,7315.38,13
77,81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,1,0,First,17.57,1193.0,88.7,5.0,6.67,4.5,8750.0,8
78,82,Honda Amaze SX i-VTEC,Kochi,2016,54944,1,0,First,18.0,1198.0,86.7,5.0,20.48,4.82,6104.89,9
79,83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,0,0,First,20.0,1399.0,68.0,5.0,20.48,2.8,5410.54,13
80,84,Maruti Ritz VDi,Jaipur,2013,99638,0,0,First,23.2,1248.0,73.94,5.0,20.48,3.11,8303.17,12
81,85,Honda City i VTEC E,Delhi,2009,52000,1,0,First,17.8,1497.0,117.3,5.0,20.48,3.25,3250.0,16
82,86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,0,1,Second,16.73,1995.0,218.0,5.0,20.48,13.9,5357.14,14
83,87,Hyundai i10 Sportz 1.2,Pune,2009,95980,1,0,First,20.36,1197.0,78.9,5.0,20.48,2.25,5998.75,16
84,88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,1,0,First,18.9,1197.0,82.0,5.0,20.48,5.75,1777.78,9
85,90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,1,0,First,17.8,1198.0,86.7,5.0,20.48,5.0,2105.44,9
86,91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,0,0,First,13.0,2982.0,168.5,7.0,20.48,16.5,9727.27,11
87,92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,0,1,First,17.68,1968.0,174.33,5.0,20.48,39.58,6909.57,7
88,93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,0,0,First,22.7,1498.0,89.84,5.0,20.48,5.5,4750.0,12
89,94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,0,0,First,15.1,2179.0,140.0,7.0,20.48,8.1,5272.73,11
90,95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,0,0,First,25.8,1498.0,98.6,5.0,20.48,3.5,3000.0,10
91,96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,0,0,First,22.07,1199.0,73.9,5.0,20.48,2.79,2851.0,12
92,97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,0,0,First,16.2,1493.0,110.0,5.0,20.48,3.45,4666.8,15
93,98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,1,0,First,18.9,998.0,67.1,5.0,20.48,4.45,6888.89,9
94,99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,1,0,First,15.26,1598.0,103.5,5.0,20.48,2.65,4133.4,15
95,100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,0,0,Second,23.0,1396.0,90.0,5.0,20.48,3.8,5639.86,14
96,101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,1,0,First,18.5,1197.0,82.85,5.0,20.48,4.65,2743.64,11
97,102,Datsun GO Plus T Petrol,Pune,2017,32851,1,0,First,19.83,1198.0,67.0,7.0,6.45,3.95,4106.38,8
98,103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,0,1,First,14.94,2967.0,241.4,5.0,20.48,9.8,2000.0,15
99,104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,1,0,Second,17.0,1197.0,80.0,5.0,20.48,2.7,4125.0,16
100,105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,1,0,First,14.0,796.0,35.0,5.0,20.48,2.41,6256.67,15
101,106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,1,0,First,17.71,1197.0,78.9,5.0,6.41,3.9,4818.18,11
102,107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,0,1,Second,14.74,2993.0,270.9,5.0,20.48,24.0,5571.43,14
103,108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,0,0,Second,16.0,2179.0,140.0,7.0,20.48,5.75,5000.0,13
104,109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,0,1,First,22.32,1582.0,126.32,5.0,20.48,5.25,3636.36,11
105,110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,0,1,First,11.36,2755.0,171.5,7.0,27.0,19.25,3750.0,8
106,111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,1,0,First,15.1,1196.0,73.0,5.0,5.13,3.91,4756.62,8
107,112,Tata Nano Twist XT,Bangalore,2014,25500,1,0,First,25.4,624.0,37.5,4.0,20.48,2.15,2318.18,11
108,113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,0,1,First,22.69,1995.0,190.0,5.0,54.43,20.75,5608.7,10
109,114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,1,0,First,13.5,1799.0,130.0,5.0,20.48,3.35,4739.2,15
110,115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,0,0,First,12.99,2494.0,100.6,7.0,20.48,11.11,5000.0,11
111,116,Volvo V40 Cross Country D3,Bangalore,2014,32700,0,1,First,23.3,1984.0,150.0,5.0,20.48,20.0,2972.73,11
112,117,Nissan Micra XV CVT,Coimbatore,2016,39882,1,1,First,19.15,1198.0,75.94,5.0,9.51,6.55,4431.33,9
113,118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,1,1,First,10.8,2497.0,215.0,5.0,20.48,7.0,8000.0,16
114,119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,0,0,First,24.3,1248.0,88.5,5.0,9.96,7.5,6111.11,9
115,121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,0,1,Second,15.0,2143.0,107.3,5.0,20.48,16.75,4886.64,11
116,122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,0,0,First,22.0,1582.0,126.2,5.0,14.44,10.95,1464.29,7
117,123,Maruti Wagon R LXI BS IV,Pune,2011,43874,1,0,First,18.9,998.0,67.1,5.0,20.48,2.45,3133.86,14
118,124,Tata Nano XTA,Coimbatore,2017,32684,1,1,First,21.9,624.0,37.48,4.0,20.48,3.23,4085.5,8
119,125,Mahindra Scorpio VLX,Kolkata,2014,42000,0,0,First,12.05,2179.0,120.0,8.0,20.48,7.75,3818.18,11
120,126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,1,1,First,11.7,1796.0,178.0,5.0,20.48,9.35,1772.0,16
121,128,Honda CR-V 2.4 MT,Bangalore,2007,47700,1,0,Second,10.8,2354.0,152.0,5.0,20.48,5.25,2650.0,18
122,129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,0,1,First,21.21,1498.0,103.2,5.0,20.48,7.25,5500.0,10
123,130,Maruti Ciaz VXi Plus,Kochi,2017,44285,1,0,First,20.73,1373.0,91.1,5.0,20.48,7.47,5535.62,8
124,131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,0,1,First,16.0,2179.0,140.0,7.0,20.48,13.25,6000.0,9
125,132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,1,0,First,21.1,1197.0,85.8,5.0,20.48,5.81,3359.11,9
126,133,Maruti Alto K10 VXI,Hyderabad,2014,88500,1,0,First,24.07,998.0,67.1,5.0,4.53,2.6,8045.45,11
127,134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,1,1,First,19.0,2996.0,362.07,2.0,95.04,54.0,1671.5,8
128,135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,1,1,First,17.0,1591.0,121.3,5.0,13.49,11.5,2107.5,6
129,136,Maruti Alto LXi BSIII,Chennai,2010,94385,1,0,Second,19.7,796.0,46.3,5.0,20.48,1.6,6292.33,15
130,137,BMW 1 Series 118d Base,Coimbatore,2015,31821,0,1,First,20.58,1995.0,143.0,5.0,20.48,17.22,3182.1,10
131,138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,1,1,First,19.0,1199.0,88.7,5.0,20.48,6.0,1200.0,10
132,139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,1,0,First,13.5,1799.0,130.0,5.0,20.48,3.95,6813.69,13
133,140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,0,1,First,19.27,2143.0,170.0,5.0,20.48,17.95,4087.73,11
134,141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,0,0,First,25.8,1498.0,98.6,5.0,20.48,3.7,4094.91,11
135,142,Maruti Swift VVT VXI,Kochi,2016,34204,1,0,First,22.0,1197.0,81.8,5.0,20.48,5.43,3800.44,9
136,144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,0,0,First,11.5,2982.0,171.0,7.0,20.48,13.49,7018.08,13
137,145,Chevrolet Beat LT Option,Pune,2014,38800,1,0,First,18.6,1199.0,76.8,5.0,20.48,2.85,3527.27,11
138,146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,0,0,First,21.14,1498.0,103.52,5.0,20.48,4.75,6916.67,12
139,147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,1,0,First,20.73,1373.0,91.1,5.0,20.48,9.9,5897.57,7
140,148,Audi RS5 Coupe,Mumbai,2013,23000,1,1,First,11.05,2894.0,444.0,4.0,1.28,37.0,1916.67,12
141,149,BMW 3 Series Luxury Line,Mumbai,2014,48000,0,1,First,21.76,1995.0,190.0,5.0,60.88,26.5,4363.64,11
142,150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,0,1,First,17.11,1968.0,174.33,5.0,20.48,23.32,4821.4,10
143,151,Maruti Swift VDI,Chennai,2016,35000,0,0,First,22.9,1248.0,74.0,5.0,20.48,6.25,3888.89,9
144,152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,1,1,First,7.81,5461.0,362.9,5.0,20.48,30.0,2351.8,15
145,153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,0,1,First,21.66,1498.0,103.52,5.0,20.48,9.86,6068.89,9
146,154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,0,1,First,17.2,1968.0,138.1,5.0,20.48,8.5,10538.23,13
147,155,Hyundai EON Magna Plus,Kochi,2019,14322,1,0,First,21.1,814.0,55.2,5.0,20.48,4.23,2387.0,6
148,156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,0,0,First,22.07,1199.0,73.9,5.0,20.48,3.5,5048.77,13
149,157,Datsun GO NXT,Kolkata,2016,6000,1,0,First,20.63,1198.0,67.06,5.0,20.48,2.5,666.67,9
150,158,Honda Brio S MT,Kolkata,2013,33280,1,0,First,19.4,1198.0,86.8,5.0,20.48,2.39,2773.33,12
151,159,Mercedes-Benz B Class B180,Delhi,2013,29000,1,1,First,14.8,1595.0,120.7,5.0,20.48,11.25,2416.67,12
152,160,Honda City i DTEC V,Kochi,2015,42831,0,0,First,26.0,1498.0,98.6,5.0,20.48,7.11,4283.1,10
153,161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,0,0,First,12.99,2494.0,100.6,7.0,20.48,10.9,10000.0,9
154,162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,1,0,First,20.4,1197.0,81.8,5.0,20.48,6.2,3000.62,8
155,163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,0,0,First,15.1,2179.0,140.0,7.0,20.48,7.9,2522.46,13
156,164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,0,0,First,22.7,1498.0,89.84,5.0,20.48,4.42,13445.27,11
157,165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,0,0,First,13.0,2982.0,168.5,7.0,20.48,13.5,10135.77,13
158,166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,0,1,First,21.5,1498.0,108.5,5.0,20.48,6.25,5416.67,12
159,167,Ford Figo Diesel Titanium,Jaipur,2010,66123,0,0,Second,20.0,1399.0,68.0,5.0,20.48,2.1,4408.2,15
160,168,BMW X5 xDrive 30d,Mumbai,2015,41000,0,1,First,15.3,2993.0,258.0,5.0,20.48,45.0,4100.0,10
161,169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,0,1,First,19.27,2143.0,167.62,5.0,20.48,33.66,2943.75,8
162,170,Honda Brio V MT,Bangalore,2012,45000,1,0,Second,19.4,1198.0,86.8,5.0,20.48,3.65,3461.54,13
163,171,Hyundai i10 Magna 1.2,Delhi,2013,60000,1,0,First,20.36,1197.0,78.9,5.0,20.48,2.75,5000.0,12
164,172,Mercedes-Benz GLC 220,Bangalore,2016,44414,0,1,First,17.9,2143.0,170.0,5.0,20.48,42.5,4934.89,9
165,173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,1,0,First,18.9,1197.0,81.86,5.0,7.39,6.5,166.67,6
166,174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,0,1,Second,17.68,1968.0,174.33,5.0,20.48,19.0,4807.69,13
167,175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,1,1,Second,14.4,1598.0,103.6,5.0,20.48,4.45,1750.0,12
168,176,Mini Countryman Cooper D,Jaipur,2017,8525,0,1,Second,16.6,1998.0,112.0,5.0,20.48,23.0,1065.62,8
169,177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,0,0,First,22.54,1396.0,88.73,5.0,20.48,8.35,2636.36,11
170,178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,0,1,First,17.68,1968.0,174.33,5.0,20.48,22.95,3636.36,11
171,179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,0,0,First,25.44,936.0,57.6,5.0,20.48,1.5,6769.23,13
172,180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,1,1,First,13.7,1798.0,157.75,5.0,20.48,6.89,4118.23,13
173,181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,0,0,Second,17.8,1399.0,68.0,5.0,20.48,1.45,11368.42,19
174,182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,0,1,First,22.48,1995.0,190.0,5.0,69.47,33.5,4636.36,11
175,183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,1,0,First,12.9,1598.0,102.5,5.0,20.48,1.25,6583.33,18
176,184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,0,0,First,22.07,1199.0,73.9,5.0,20.48,4.2,4846.15,13
177,185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,0,0,First,19.98,1461.0,108.5,8.0,20.48,6.75,2500.0,10
178,186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,0,1,First,13.0,2143.0,201.1,5.0,20.48,32.0,3398.36,11
179,187,Maruti Baleno Alpha,Kochi,2017,24773,1,0,First,21.4,1197.0,83.1,5.0,8.78,7.5,3096.62,8
180,188,Hyundai Verna 1.6 SX,Delhi,2012,62000,0,0,First,22.32,1582.0,126.32,5.0,20.48,4.6,4769.23,13
181,189,Hyundai i10 Magna 1.1,Kochi,2017,52340,1,0,First,19.81,1086.0,68.05,5.0,20.48,4.04,6542.5,8
182,190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,0,0,First,15.4,1997.0,120.0,7.0,20.48,10.31,6304.33,9
183,191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,0,1,First,12.7,2179.0,187.7,5.0,20.48,55.76,5155.86,7
184,192,Ford Figo Diesel ZXI,Chennai,2010,120000,0,0,First,20.0,1399.0,68.0,5.0,20.48,2.6,8000.0,15
185,193,Maruti Ertiga ZDI,Mumbai,2016,33000,0,0,First,25.47,1248.0,88.5,7.0,12.74,8.5,3666.67,9
186,194,Honda City 1.5 GXI,Ahmedabad,2007,60006,1,0,First,0.0,1197.0,113.80314403717087,5.0,20.48,2.95,3333.67,18
187,195,Honda Amaze S i-Dtech,Kolkata,2014,52000,0,0,First,25.8,1498.0,98.6,5.0,20.48,3.5,4727.27,11
188,196,Hyundai i10 Magna,Jaipur,2015,43571,1,0,First,20.36,1197.0,78.9,5.0,20.48,3.55,4357.1,10
189,197,Honda Amaze S i-Dtech,Kolkata,2013,50000,0,0,First,25.8,1498.0,98.6,5.0,20.48,3.25,4166.67,12
190,198,Skoda Laura Ambiente,Hyderabad,2008,113000,0,0,First,17.5,1896.0,106.0,5.0,20.48,4.5,6647.06,17
